year	ncaa_game_id	gamedate_east	round	team_1_id	team_1_name	team_1_region	team_1_seed	team_2_id	team_2_name	team_2_region	team_2_seed
2016	475396	2016-03-18	R64	430	Mississippi St.	Bridgeport	5	693	Chattanooga	Bridgeport	12
2016	475397	2016-03-18	R64	51	Baylor	Dallas	1	295	Idaho	Dallas	16
2016	475398	2016-03-18	R64	367	Louisville	Dallas	3	1004	Central Ark.	Dallas	14
2016	475399	2016-03-18	R64	528	Oregon St.	Dallas	2	716	Troy	Dallas	15
2016	475400	2016-03-18	R64	648	South Carolina	Sioux Falls	1	316	Jacksonville	Sioux Falls	16
2016	475401	2016-03-18	R64	688	Syracuse	Sioux Falls	4	725	Army West Point	Sioux Falls	13
2016	475402	2016-03-18	R64	518	Ohio St.	Sioux Falls	3	86	Buffalo	Sioux Falls	14
2016	475403	2016-03-18	R64	28	Arizona St.	Sioux Falls	2	472	New Mexico St.	Sioux Falls	15
2016	475409	2016-03-18	R64	249	George Washington	Sioux Falls	8	327	Kansas St.	Sioux Falls	9
2016	475410	2016-03-18	R64	768	West Virginia	Sioux Falls	6	554	Princeton	Sioux Falls	11
2016	475411	2016-03-18	R64	603	St. John's (NY)	Dallas	8	37	Auburn	Dallas	9
2016	475412	2016-03-18	R64	521	Oklahoma St.	Dallas	7	596	St. Bonaventure	Dallas	10
2016	475413	2016-03-18	R64	176	DePaul	Dallas	6	317	James Madison	Dallas	11
2016	475414	2016-03-18	R64	416	Michigan St.	Bridgeport	4	14927	Belmont	Bridgeport	13
2016	475415	2016-03-18	R64	694	Tennessee	Sioux Falls	7	794	Green Bay	Sioux Falls	10
2016	475416	2016-03-18	R64	235	Florida	Sioux Falls	5	14	Albany (NY)	Sioux Falls	12
2016	475417	2016-03-19	R64	164	UConn	Bridgeport	1	579	Robert Morris	Bridgeport	16
2016	475418	2016-03-19	R64	110	UCLA	Bridgeport	3	277	Hawaii	Bridgeport	14
2016	475419	2016-03-19	R64	703	Texas	Bridgeport	2	7	Alabama St.	Bridgeport	15
2016	475420	2016-03-19	R64	697	Texas A&M	Dallas	4	669	Missouri St.	Dallas	13
2016	475421	2016-03-19	R64	513	Notre Dame	Lexington	1	488	N.C. A&T	Lexington	16
2016	475422	2016-03-19	R64	674	Stanford	Lexington	4	629	San Francisco	Lexington	13
2016	475423	2016-03-19	R64	334	Kentucky	Lexington	3	456	UNC Asheville	Lexington	14
2016	475424	2016-03-19	R64	392	Maryland	Lexington	2	310	Iona	Lexington	15
2016	475433	2016-03-19	R64	77	BYU	Bridgeport	7	434	Missouri	Bridgeport	10
2016	475434	2016-03-19	R64	756	Washington	Lexington	7	540	Penn	Lexington	10
2016	475435	2016-03-19	R64	234	Florida St.	Dallas	5	419	Middle Tenn.	Dallas	12
2016	475436	2016-03-19	R64	635	Seton Hall	Bridgeport	8	194	Duquesne	Bridgeport	9
2016	475437	2016-03-19	R64	156	Colorado St.	Bridgeport	11	651	South Fla.	Bridgeport	6
2016	475438	2016-03-19	R64	522	Oklahoma	Lexington	6	559	Purdue	Lexington	11
2016	475440	2016-03-19	R64	257	Georgia	Lexington	8	306	Indiana	Lexington	9
2016	475441	2016-03-19	R64	415	Miami (FL)	Lexington	5	649	South Dakota St.	Lexington	12
2016	475449	2016-03-20	R32	416	Michigan St.	Bridgeport	4	430	Mississippi St.	Bridgeport	5
2016	475450	2016-03-20	R32	51	Baylor	Dallas	1	37	Auburn	Dallas	9
2016	475451	2016-03-20	R32	367	Louisville	Dallas	3	176	DePaul	Dallas	6
2016	475452	2016-03-20	R32	528	Oregon St.	Dallas	2	596	St. Bonaventure	Dallas	10
2016	475453	2016-03-20	R32	648	South Carolina	Sioux Falls	1	327	Kansas St.	Sioux Falls	9
2016	475454	2016-03-20	R32	688	Syracuse	Sioux Falls	4	14	Albany (NY)	Sioux Falls	12
2016	475455	2016-03-20	R32	518	Ohio St.	Sioux Falls	3	768	West Virginia	Sioux Falls	6
2016	475456	2016-03-20	R32	28	Arizona St.	Sioux Falls	2	694	Tennessee	Sioux Falls	7
2016	475465	2016-03-21	R32	164	UConn	Bridgeport	1	194	Duquesne	Bridgeport	9
2016	475466	2016-03-21	R32	110	UCLA	Bridgeport	3	651	South Fla.	Bridgeport	6
2016	475467	2016-03-21	R32	703	Texas	Bridgeport	2	434	Missouri	Bridgeport	10
2016	475468	2016-03-21	R32	697	Texas A&M	Dallas	4	234	Florida St.	Dallas	5
2016	475469	2016-03-21	R32	513	Notre Dame	Lexington	1	306	Indiana	Lexington	9
2016	475470	2016-03-21	R32	674	Stanford	Lexington	4	649	South Dakota St.	Lexington	12
2016	475471	2016-03-21	R32	334	Kentucky	Lexington	3	522	Oklahoma	Lexington	6
2016	475472	2016-03-21	R32	392	Maryland	Lexington	2	756	Washington	Lexington	7
2016	475489	2016-03-25	S16	513	Notre Dame	Lexington	1	674	Stanford	Lexington	4
2016	475490	2016-03-25	S16	334	Kentucky	Lexington	3	756	Washington	Lexington	7
2016	475491	2016-03-25	S16	648	South Carolina	Sioux Falls	1	688	Syracuse	Sioux Falls	4
2016	475492	2016-03-25	S16	518	Ohio St.	Sioux Falls	3	694	Tennessee	Sioux Falls	7
2016	475494	2016-03-26	S16	528	Oregon St.	Dallas	2	176	DePaul	Dallas	6
2016	475495	2016-03-26	S16	51	Baylor	Dallas	1	234	Florida St.	Dallas	5
2016	475496	2016-03-26	S16	164	UConn	Bridgeport	1	430	Mississippi St.	Bridgeport	5
2016	475497	2016-03-26	S16	703	Texas	Bridgeport	2	110	UCLA	Bridgeport	3
2016	475499	2016-03-27	E8	674	Stanford	Lexington	4	756	Washington	Lexington	7
2016	475500	2016-03-27	E8	688	Syracuse	Sioux Falls	4	694	Tennessee	Sioux Falls	7
2016	475504	2016-03-28	E8	51	Baylor	Dallas	1	528	Oregon St.	Dallas	2
2016	475505	2016-03-28	E8	164	UConn	Bridgeport	1	703	Texas	Bridgeport	2
2016	475509	2016-04-03	F4	688	Syracuse	Sioux Falls	4	756	Washington	Lexington	7
2016	475510	2016-04-03	F4	164	UConn	Bridgeport	1	528	Oregon St.	Dallas	2
2016	475513	2016-04-05	C2	164	UConn	Bridgeport	1	688	Syracuse	Sioux Falls	4
2017	330688	2017-03-17	R64	392	Maryland	Bridgeport	3	83	Bucknell	Bridgeport	14
2017	330689	2017-03-17	R64	430	Mississippi St.	Oklahoma City	2	716	Troy	Oklahoma City	15
2017	330690	2017-03-17	R64	513	Notre Dame	Lexington	1	579	Robert Morris	Lexington	16
2017	330691	2017-03-17	R64	334	Kentucky	Lexington	4	14927	Belmont	Lexington	13
2017	330692	2017-03-17	R64	703	Texas	Lexington	3	1004	Central Ark.	Lexington	14
2017	330693	2017-03-17	R64	648	South Carolina	Stockton	1	456	UNC Asheville	Stockton	16
2017	330694	2017-03-17	R64	234	Florida St.	Stockton	3	771	Western Ill.	Stockton	14
2017	330695	2017-03-17	R64	528	Oregon St.	Stockton	2	99	Long Beach St.	Stockton	15
2017	330708	2017-03-17	R64	490	NC State	Lexington	6	37	Auburn	Lexington	11
2017	330709	2017-03-17	R64	768	West Virginia	Bridgeport	6	1068	Elon	Bridgeport	11
2017	330710	2017-03-17	R64	28	Arizona St.	Stockton	8	416	Michigan St.	Stockton	9
2017	330711	2017-03-17	R64	169	Creighton	Stockton	7	709	Toledo	Stockton	10
2017	330714	2017-03-17	R64	518	Ohio St.	Lexington	5	772	Western Ky.	Lexington	12
2017	330715	2017-03-17	R64	794	Green Bay	Lexington	8	559	Purdue	Lexington	9
2017	330716	2017-03-17	R64	176	DePaul	Oklahoma City	7	504	UNI	Oklahoma City	10
2017	330717	2017-03-17	R64	434	Missouri	Stockton	6	651	South Fla.	Stockton	11
2017	330718	2017-03-18	R64	164	UConn	Bridgeport	1	14	Albany (NY)	Bridgeport	16
2017	330719	2017-03-18	R64	110	UCLA	Bridgeport	4	66	Boise St.	Bridgeport	13
2017	330720	2017-03-18	R64	193	Duke	Bridgeport	2	270	Hampton	Bridgeport	15
2017	330721	2017-03-18	R64	51	Baylor	Oklahoma City	1	699	Texas Southern	Oklahoma City	16
2017	330722	2017-03-18	R64	367	Louisville	Oklahoma City	4	693	Chattanooga	Oklahoma City	13
2017	330723	2017-03-18	R64	756	Washington	Oklahoma City	3	440	Montana St.	Oklahoma City	14
2017	330724	2017-03-18	R64	327	Kansas St.	Lexington	7	189	Drake	Lexington	10
2017	330725	2017-03-18	R64	415	Miami (FL)	Stockton	4	28755	FGCU	Stockton	13
2017	330729	2017-03-18	R64	674	Stanford	Lexington	2	472	New Mexico St.	Lexington	15
2017	330730	2017-03-18	R64	690	Temple	Bridgeport	7	529	Oregon	Bridgeport	10
2017	330731	2017-03-18	R64	365	LSU	Oklahoma City	8	107	California	Oklahoma City	9
2017	330732	2017-03-18	R64	688	Syracuse	Bridgeport	8	311	Iowa St.	Bridgeport	9
2017	330733	2017-03-18	R64	694	Tennessee	Oklahoma City	5	175	Dayton	Oklahoma City	12
2017	330734	2017-03-18	R64	697	Texas A&M	Bridgeport	5	540	Penn	Bridgeport	12
2017	330735	2017-03-18	R64	522	Oklahoma	Oklahoma City	6	260	Gonzaga	Oklahoma City	11
2017	330736	2017-03-18	R64	387	Marquette	Stockton	5	562	Quinnipiac	Stockton	12
2017	330748	2017-03-19	R32	392	Maryland	Bridgeport	3	768	West Virginia	Bridgeport	6
2017	330749	2017-03-19	R32	513	Notre Dame	Lexington	1	559	Purdue	Lexington	9
2017	330750	2017-03-19	R32	334	Kentucky	Lexington	4	518	Ohio St.	Lexington	5
2017	330751	2017-03-19	R32	703	Texas	Lexington	3	490	NC State	Lexington	6
2017	330752	2017-03-19	R32	648	South Carolina	Stockton	1	28	Arizona St.	Stockton	8
2017	330753	2017-03-19	R32	234	Florida St.	Stockton	3	434	Missouri	Stockton	6
2017	330754	2017-03-19	R32	528	Oregon St.	Stockton	2	169	Creighton	Stockton	7
2017	330755	2017-03-19	R32	430	Mississippi St.	Oklahoma City	2	176	DePaul	Oklahoma City	7
2017	330764	2017-03-20	R32	164	UConn	Bridgeport	1	688	Syracuse	Bridgeport	8
2017	330765	2017-03-20	R32	110	UCLA	Bridgeport	4	697	Texas A&M	Bridgeport	5
2017	330766	2017-03-20	R32	193	Duke	Bridgeport	2	529	Oregon	Bridgeport	10
2017	330767	2017-03-20	R32	51	Baylor	Oklahoma City	1	107	California	Oklahoma City	9
2017	330768	2017-03-20	R32	367	Louisville	Oklahoma City	4	694	Tennessee	Oklahoma City	5
2017	330769	2017-03-20	R32	756	Washington	Oklahoma City	3	522	Oklahoma	Oklahoma City	6
2017	330770	2017-03-20	R32	674	Stanford	Lexington	2	327	Kansas St.	Lexington	7
2017	330771	2017-03-20	R32	415	Miami (FL)	Stockton	4	562	Quinnipiac	Stockton	12
2017	330789	2017-03-24	S16	51	Baylor	Oklahoma City	1	367	Louisville	Oklahoma City	4
2017	330790	2017-03-24	S16	430	Mississippi St.	Oklahoma City	2	756	Washington	Oklahoma City	3
2017	330791	2017-03-24	S16	674	Stanford	Lexington	2	703	Texas	Lexington	3
2017	330792	2017-03-24	S16	513	Notre Dame	Lexington	1	518	Ohio St.	Lexington	5
2017	330794	2017-03-25	S16	392	Maryland	Bridgeport	3	529	Oregon	Bridgeport	10
2017	330795	2017-03-25	S16	528	Oregon St.	Stockton	2	234	Florida St.	Stockton	3
2017	330796	2017-03-25	S16	648	South Carolina	Stockton	1	562	Quinnipiac	Stockton	12
2017	330797	2017-03-25	S16	164	UConn	Bridgeport	1	110	UCLA	Bridgeport	4
2017	330802	2017-03-26	E8	513	Notre Dame	Lexington	1	674	Stanford	Lexington	2
2017	330803	2017-03-26	E8	51	Baylor	Oklahoma City	1	430	Mississippi St.	Oklahoma City	2
2017	330804	2017-03-27	E8	648	South Carolina	Stockton	1	234	Florida St.	Stockton	3
2017	330805	2017-03-27	E8	164	UConn	Bridgeport	1	529	Oregon	Bridgeport	10
2017	330808	2017-03-31	F4	164	UConn	Bridgeport	1	430	Mississippi St.	Oklahoma City	2
2017	330809	2017-03-31	F4	648	South Carolina	Stockton	1	674	Stanford	Lexington	2
2017	330811	2017-04-02	C2	648	South Carolina	Stockton	1	430	Mississippi St.	Oklahoma City	2
2018	42480	2018-03-16	R64	648	South Carolina	Albany	2	488	N.C. A&T	Albany	15
2018	42481	2018-03-16	R64	513	Notre Dame	Spokane	1	101	CSUN	Spokane	16
2018	42482	2018-03-16	R64	697	Texas A&M	Spokane	4	189	Drake	Spokane	13
2018	42483	2018-03-16	R64	529	Oregon	Spokane	2	1356	Seattle U	Spokane	15
2018	42484	2018-03-16	R64	490	NC State	Kansas City	4	1068	Elon	Kansas City	13
2018	42485	2018-03-16	R64	367	Louisville	Lexington	1	66	Boise St.	Lexington	16
2018	42486	2018-03-16	R64	694	Tennessee	Lexington	3	355	Liberty	Lexington	14
2018	42487	2018-03-16	R64	51	Baylor	Lexington	2	261	Grambling	Lexington	15
2018	42488	2018-03-16	R64	176	DePaul	Spokane	5	522	Oklahoma	Spokane	12
2018	42489	2018-03-16	R64	107	California	Albany	7	746	Virginia	Albany	10
2018	42490	2018-03-16	R64	794	Green Bay	Spokane	7	428	Minnesota	Spokane	10
2018	42491	2018-03-16	R64	418	Michigan	Lexington	7	502	Northern Colo.	Lexington	10
2018	42492	2018-03-16	R64	387	Marquette	Lexington	8	175	Dayton	Lexington	9
2018	42493	2018-03-16	R64	528	Oregon St.	Lexington	6	772	Western Ky.	Lexington	11
2018	42494	2018-03-16	R64	649	South Dakota St.	Spokane	8	739	Villanova	Spokane	9
2018	42495	2018-03-16	R64	392	Maryland	Kansas City	5	554	Princeton	Kansas City	12
2018	42498	2018-03-17	R64	164	UConn	Albany	1	600	Saint Francis (PA)	Albany	16
2018	42499	2018-03-17	R64	257	Georgia	Albany	4	406	Mercer	Albany	13
2018	42500	2018-03-17	R64	234	Florida St.	Albany	3	32	Little Rock	Albany	14
2018	42501	2018-03-17	R64	518	Ohio St.	Spokane	3	249	George Washington	Spokane	14
2018	42502	2018-03-17	R64	430	Mississippi St.	Kansas City	1	483	Nicholls St.	Kansas City	16
2018	42503	2018-03-17	R64	110	UCLA	Kansas City	3	23	American	Kansas City	14
2018	42504	2018-03-17	R64	703	Texas	Kansas City	2	380	Maine	Kansas City	15
2018	42505	2018-03-17	R64	674	Stanford	Lexington	4	260	Gonzaga	Lexington	13
2018	42508	2018-03-17	R64	193	Duke	Albany	5	14927	Belmont	Albany	12
2018	42509	2018-03-17	R64	28	Arizona St.	Kansas City	7	463	Nebraska	Kansas City	10
2018	42510	2018-03-17	R64	365	LSU	Spokane	6	129	Central Mich.	Spokane	11
2018	42511	2018-03-17	R64	415	Miami (FL)	Albany	8	562	Quinnipiac	Albany	9
2018	42512	2018-03-17	R64	312	Iowa	Kansas City	6	169	Creighton	Kansas City	11
2018	42513	2018-03-17	R64	434	Missouri	Lexington	5	28755	FGCU	Lexington	12
2018	42514	2018-03-17	R64	688	Syracuse	Kansas City	8	521	Oklahoma St.	Kansas City	9
2018	42515	2018-03-17	R64	651	South Fla.	Albany	6	86	Buffalo	Albany	11
2018	42527	2018-03-18	R32	648	South Carolina	Albany	2	746	Virginia	Albany	10
2018	42528	2018-03-18	R32	490	NC State	Kansas City	4	392	Maryland	Kansas City	5
2018	42529	2018-03-18	R32	513	Notre Dame	Spokane	1	739	Villanova	Spokane	9
2018	42530	2018-03-18	R32	697	Texas A&M	Spokane	4	176	DePaul	Spokane	5
2018	42531	2018-03-18	R32	529	Oregon	Spokane	2	428	Minnesota	Spokane	10
2018	42532	2018-03-18	R32	367	Louisville	Lexington	1	387	Marquette	Lexington	8
2018	42533	2018-03-18	R32	694	Tennessee	Lexington	3	528	Oregon St.	Lexington	6
2018	42534	2018-03-18	R32	51	Baylor	Lexington	2	418	Michigan	Lexington	7
2018	42541	2018-03-19	R32	164	UConn	Albany	1	562	Quinnipiac	Albany	9
2018	42542	2018-03-19	R32	257	Georgia	Albany	4	193	Duke	Albany	5
2018	42543	2018-03-19	R32	234	Florida St.	Albany	3	86	Buffalo	Albany	11
2018	42544	2018-03-19	R32	518	Ohio St.	Spokane	3	129	Central Mich.	Spokane	11
2018	42545	2018-03-19	R32	430	Mississippi St.	Kansas City	1	521	Oklahoma St.	Kansas City	9
2018	42546	2018-03-19	R32	110	UCLA	Kansas City	3	169	Creighton	Kansas City	11
2018	42547	2018-03-19	R32	703	Texas	Kansas City	2	28	Arizona St.	Kansas City	7
2018	42548	2018-03-19	R32	674	Stanford	Lexington	4	28755	FGCU	Lexington	12
2018	42566	2018-03-23	S16	367	Louisville	Lexington	1	674	Stanford	Lexington	4
2018	42567	2018-03-23	S16	430	Mississippi St.	Kansas City	1	490	NC State	Kansas City	4
2018	42568	2018-03-23	S16	703	Texas	Kansas City	2	110	UCLA	Kansas City	3
2018	42569	2018-03-23	S16	51	Baylor	Lexington	2	528	Oregon St.	Lexington	6
2018	42572	2018-03-24	S16	164	UConn	Albany	1	193	Duke	Albany	5
2018	42573	2018-03-24	S16	648	South Carolina	Albany	2	86	Buffalo	Albany	11
2018	42574	2018-03-24	S16	513	Notre Dame	Spokane	1	697	Texas A&M	Spokane	4
2018	42575	2018-03-24	S16	529	Oregon	Spokane	2	129	Central Mich.	Spokane	11
2018	42581	2018-03-25	E8	367	Louisville	Lexington	1	528	Oregon St.	Lexington	6
2018	42582	2018-03-25	E8	430	Mississippi St.	Kansas City	1	110	UCLA	Kansas City	3
2018	42583	2018-03-26	E8	164	UConn	Albany	1	648	South Carolina	Albany	2
2018	42584	2018-03-26	E8	513	Notre Dame	Spokane	1	529	Oregon	Spokane	2
2018	42588	2018-03-30	F4	430	Mississippi St.	Kansas City	1	367	Louisville	Lexington	1
2018	42589	2018-03-30	F4	164	UConn	Albany	1	513	Notre Dame	Spokane	1
2018	42591	2018-04-01	C2	430	Mississippi St.	Kansas City	1	513	Notre Dame	Spokane	1
2019	1719727	2019-03-22	R64	28	Arizona St.	Portland	5	128	UCF	Portland	12
2019	1719728	2019-03-22	R64	415	Miami (FL)	Portland	4	28755	FGCU	Portland	13
2019	1719729	2019-03-22	R64	587	Rutgers	Albany	7	86	Buffalo	Albany	10
2019	1719730	2019-03-22	R64	164	UConn	Albany	2	711	Towson	Albany	15
2019	1719731	2019-03-22	R64	430	Mississippi St.	Portland	1	665	Southern U.	Portland	16
2019	1719732	2019-03-22	R64	650	South Dakota	Portland	8	147	Clemson	Portland	9
2019	1719733	2019-03-22	R64	367	Louisville	Albany	1	579	Robert Morris	Albany	16
2019	1719734	2019-03-22	R64	418	Michigan	Albany	8	327	Kansas St.	Albany	9
2019	1719735	2019-03-22	R64	234	Florida St.	Greensboro	5	83	Bucknell	Greensboro	12
2019	1719736	2019-03-22	R64	648	South Carolina	Greensboro	4	14927	Belmont	Greensboro	13
2019	1719737	2019-03-22	R64	434	Missouri	Greensboro	7	189	Drake	Greensboro	10
2019	1719738	2019-03-22	R64	312	Iowa	Greensboro	2	406	Mercer	Greensboro	15
2019	1719739	2019-03-22	R64	387	Marquette	Chicago	5	574	Rice	Chicago	12
2019	1719740	2019-03-22	R64	697	Texas A&M	Chicago	4	810	Wright St.	Chicago	13
2019	1719741	2019-03-22	R64	703	Texas	Portland	7	306	Indiana	Portland	10
2019	1719742	2019-03-22	R64	529	Oregon	Portland	2	550	Portland St.	Portland	15
2019	1719743	2019-03-23	R64	110	UCLA	Albany	6	694	Tennessee	Albany	11
2019	1719744	2019-03-23	R64	392	Maryland	Albany	3	563	Radford	Albany	14
2019	1719745	2019-03-23	R64	176	DePaul	Chicago	6	669	Missouri St.	Chicago	11
2019	1719746	2019-03-23	R64	311	Iowa St.	Chicago	3	472	New Mexico St.	Chicago	14
2019	1719747	2019-03-23	R64	51	Baylor	Greensboro	1	2	Abilene Christian	Greensboro	16
2019	1719748	2019-03-23	R64	107	California	Greensboro	8	457	North Carolina	Greensboro	9
2019	1719749	2019-03-23	R64	649	South Dakota St.	Portland	6	562	Quinnipiac	Portland	11
2019	1719750	2019-03-23	R64	688	Syracuse	Portland	3	236	Fordham	Portland	14
2019	1719751	2019-03-23	R64	77	BYU	Chicago	7	37	Auburn	Chicago	10
2019	1719752	2019-03-23	R64	674	Stanford	Chicago	2	108	UC Davis	Chicago	15
2019	1719753	2019-03-23	R64	334	Kentucky	Greensboro	6	554	Princeton	Greensboro	11
2019	1719754	2019-03-23	R64	490	NC State	Greensboro	3	380	Maine	Greensboro	14
2019	1719755	2019-03-23	R64	513	Notre Dame	Chicago	1	61	Bethune-Cookman	Chicago	16
2019	1719756	2019-03-23	R64	129	Central Mich.	Chicago	8	416	Michigan St.	Chicago	9
2019	1719757	2019-03-23	R64	260	Gonzaga	Albany	5	32	Little Rock	Albany	12
2019	1719758	2019-03-23	R64	528	Oregon St.	Albany	4	66	Boise St.	Albany	13
2019	1719759	2019-03-24	R32	367	Louisville	Albany	1	418	Michigan	Albany	8
2019	1719760	2019-03-24	R32	648	South Carolina	Greensboro	4	234	Florida St.	Greensboro	5
